Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,31,Azerbaijan,AZE,,,,,,,,0702,Tomatoes; fresh or chilled,8,Weight in kilograms,157003059,,,,157003059,,155167730,,,0
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,51,Armenia,ARM,,,,,,,,0702,Tomatoes; fresh or chilled,8,Weight in kilograms,23177078,,,,23177078,,12185272,,,0
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,70,Bosnia Herzegovina,BIH,,,,,,,,0702,Tomatoes; fresh or chilled,8,Weight in kilograms,173323,,,,173323,,268485,,,0
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,0702,Tomatoes; fresh or chilled,8,Weight in kilograms,75579880,,,,75579880,,63527275,,,0
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,156,China,CHN,,,,,,,,0702,Tomatoes; fresh or chilled,8,Weight in kilograms,108792586,,,,108792586,,135490551,,,0
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,268,Georgia,GEO,,,,,,,,0702,Tomatoes; fresh or chilled,8,Weight in kilograms,3010486,,,,3010486,,3764436,,,0
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0702,Tomatoes; fresh or chilled,8,Weight in kilograms,9204482,,,,9204482,,12537358,,,0
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,376,Israel,ISR,,,,,,,,0702,Tomatoes; fresh or chilled,8,Weight in kilograms,999642,,,,999642,,2554823,,,0
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,392,Japan,JPN,,,,,,,,0702,Tomatoes; fresh or chilled,8,Weight in kilograms,18,,,,18,,148,,,0
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,398,Kazakhstan,KAZ,,,,,,,,0702,Tomatoes; fresh or chilled,8,Weight in kilograms,14961990,,,,14961990,,7587717,,,0
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,400,Jordan,JOR,,,,,,,,0702,Tomatoes; fresh or chilled,8,Weight in kilograms,72930,,,,72930,,84271,,,0
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,410,Rep. of Korea,KOR,,,,,,,,0702,Tomatoes; fresh or chilled,8,Weight in kilograms,110,,,,110,,236,,,0
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,417,Kyrgyzstan,KGZ,,,,,,,,0702,Tomatoes; fresh or chilled,8,Weight in kilograms,93721,,,,93721,,99416,,,0
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,498,Rep. of Moldova,MDA,,,,,,,,0702,Tomatoes; fresh or chilled,8,Weight in kilograms,291850,,,,291850,,276685,,,0
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,504,Morocco,MAR,,,,,,,,0702,Tomatoes; fresh or chilled,8,Weight in kilograms,96872362,,,,96872362,,129541693,,,0
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,686,Senegal,SEN,,,,,,,,0702,Tomatoes; fresh or chilled,8,Weight in kilograms,2591329,,,,2591329,,6692323,,,0
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,688,Serbia,SRB,,,,,,,,0702,Tomatoes; fresh or chilled,8,Weight in kilograms,1364869,,,,1364869,,1455208,,,0
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,704,Viet Nam,VNM,,,,,,,,0702,Tomatoes; fresh or chilled,8,Weight in kilograms,680,,,,680,,2159,,,0
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,760,Syria,SYR,,,,,,,,0702,Tomatoes; fresh or chilled,8,Weight in kilograms,162010,,,,162010,,221564,,,0
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,764,Thailand,THA,,,,,,,,0702,Tomatoes; fresh or chilled,8,Weight in kilograms,40822,,,,40822,,287024,,,0
