Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080211,"Nuts, edible; almonds, fresh or dried, in shell",8,Weight in kilograms,1216820,,,,1216820,,5595776,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,152,Chile,CHL,,,,,,,,080211,"Nuts, edible; almonds, fresh or dried, in shell",8,Weight in kilograms,10000,,,,10000,,60100,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,156,China,CHN,,,,,,,,080211,"Nuts, edible; almonds, fresh or dried, in shell",8,Weight in kilograms,800,,,,800,,5200,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,276,Germany,DEU,,,,,,,,080211,"Nuts, edible; almonds, fresh or dried, in shell",8,Weight in kilograms,247,,,,247,,1899,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,440,Lithuania,LTU,,,,,,,,080211,"Nuts, edible; almonds, fresh or dried, in shell",8,Weight in kilograms,436,,,,436,,3115,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,724,Spain,ESP,,,,,,,,080211,"Nuts, edible; almonds, fresh or dried, in shell",8,Weight in kilograms,16380,,,,16380,,108465,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,762,Tajikistan,TJK,,,,,,,,080211,"Nuts, edible; almonds, fresh or dried, in shell",8,Weight in kilograms,1219,,,,1219,,6351,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,788,Tunisia,TUN,,,,,,,,080211,"Nuts, edible; almonds, fresh or dried, in shell",8,Weight in kilograms,219,,,,219,,879,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,842,USA,USA,,,,,,,,080211,"Nuts, edible; almonds, fresh or dried, in shell",8,Weight in kilograms,1187520,,,,1187520,,5409768,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,21500004,,,,21500004,,111152104,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,40,Austria,AUT,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,54,,,,54,,715,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,100,Bulgaria,BGR,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,3,,,,3,,31,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,62596,,,,62596,,199840,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,156,China,CHN,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,8585,,,,8585,,51810,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,246,Finland,FIN,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,1968,,,,1968,,18179,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,251,France,FRA,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,8264,,,,8264,,50923,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,276,Germany,DEU,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,81413,,,,81413,,629561,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,300,Greece,GRC,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,1910,,,,1910,,12033,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,381,Italy,ITA,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,7121,,,,7121,,47836,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,428,Latvia,LVA,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,522,,,,522,,5778,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,440,Lithuania,LTU,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,756,,,,756,,6015,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,724,Spain,ESP,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,684609,,,,684609,,4482032,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,792,Turkey,TUR,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,12004,,,,12004,,81649,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,804,Ukraine,UKR,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,73,,,,73,,1037,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,842,USA,USA,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,20630126,,,,20630126,,105564664,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080221,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, in shell",8,Weight in kilograms,550831,,,,550831,,871794,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,31,Azerbaijan,AZE,,,,,,,,080221,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, in shell",8,Weight in kilograms,24000,,,,24000,,60000,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,156,China,CHN,,,,,,,,080221,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, in shell",8,Weight in kilograms,600,,,,600,,3900,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,251,France,FRA,,,,,,,,080221,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, in shell",8,Weight in kilograms,768,,,,768,,2982,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,268,Georgia,GEO,,,,,,,,080221,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, in shell",8,Weight in kilograms,394037,,,,394037,,366388,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,616,Poland,POL,,,,,,,,080221,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, in shell",8,Weight in kilograms,70099,,,,70099,,223169,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,792,Turkey,TUR,,,,,,,,080221,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, in shell",8,Weight in kilograms,3,,,,3,,30,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,842,USA,USA,,,,,,,,080221,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, in shell",8,Weight in kilograms,61324,,,,61324,,215325,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080222,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, shelled",8,Weight in kilograms,13251945,,,,13251945,,65026048,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,31,Azerbaijan,AZE,,,,,,,,080222,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, shelled",8,Weight in kilograms,8372921,,,,8372921,,35812309,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,40,Austria,AUT,,,,,,,,080222,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, shelled",8,Weight in kilograms,135,,,,135,,1169,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,100,Bulgaria,BGR,,,,,,,,080222,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, shelled",8,Weight in kilograms,3,,,,3,,29,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,080222,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, shelled",8,Weight in kilograms,49765,,,,49765,,135528,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,156,China,CHN,,,,,,,,080222,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, shelled",8,Weight in kilograms,1000,,,,1000,,6424,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,251,France,FRA,,,,,,,,080222,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, shelled",8,Weight in kilograms,2078,,,,2078,,17179,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,268,Georgia,GEO,,,,,,,,080222,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, shelled",8,Weight in kilograms,454914,,,,454914,,980024,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,276,Germany,DEU,,,,,,,,080222,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, shelled",8,Weight in kilograms,17709,,,,17709,,204953,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,300,Greece,GRC,,,,,,,,080222,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, shelled",8,Weight in kilograms,151,,,,151,,1224,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,428,Latvia,LVA,,,,,,,,080222,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, shelled",8,Weight in kilograms,56,,,,56,,930,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,440,Lithuania,LTU,,,,,,,,080222,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, shelled",8,Weight in kilograms,1705,,,,1705,,16075,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,792,Turkey,TUR,,,,,,,,080222,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, shelled",8,Weight in kilograms,4351509,,,,4351509,,27850204,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080231,"Nuts, edible; walnuts, fresh or dried, in shell",8,Weight in kilograms,2063768,,,,2063768,,3283919,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,080231,"Nuts, edible; walnuts, fresh or dried, in shell",8,Weight in kilograms,35,,,,35,,221,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,152,Chile,CHL,,,,,,,,080231,"Nuts, edible; walnuts, fresh or dried, in shell",8,Weight in kilograms,767,,,,767,,2235,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,381,Italy,ITA,,,,,,,,080231,"Nuts, edible; walnuts, fresh or dried, in shell",8,Weight in kilograms,244,,,,244,,2222,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,498,Rep. of Moldova,MDA,,,,,,,,080231,"Nuts, edible; walnuts, fresh or dried, in shell",8,Weight in kilograms,53894,,,,53894,,91894,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,616,Poland,POL,,,,,,,,080231,"Nuts, edible; walnuts, fresh or dried, in shell",8,Weight in kilograms,147899,,,,147899,,430087,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,762,Tajikistan,TJK,,,,,,,,080231,"Nuts, edible; walnuts, fresh or dried, in shell",8,Weight in kilograms,15096,,,,15096,,8069,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,804,Ukraine,UKR,,,,,,,,080231,"Nuts, edible; walnuts, fresh or dried, in shell",8,Weight in kilograms,1774589,,,,1774589,,2481979,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,842,USA,USA,,,,,,,,080231,"Nuts, edible; walnuts, fresh or dried, in shell",8,Weight in kilograms,71244,,,,71244,,267211,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,8764373,,,,8764373,,28869959,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,40,Austria,AUT,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,41,,,,41,,662,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,7995,,,,7995,,52361,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,152,Chile,CHL,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,287141,,,,287141,,1919566,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,276,Germany,DEU,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,15588,,,,15588,,357985,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,381,Italy,ITA,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,101,,,,101,,2124,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,417,Kyrgyzstan,KGZ,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,2910,,,,2910,,17589,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,440,Lithuania,LTU,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,1896,,,,1896,,21926,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,498,Rep. of Moldova,MDA,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,236218,,,,236218,,875031,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,616,Poland,POL,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,38025,,,,38025,,238334,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,724,Spain,ESP,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,5315,,,,5315,,171324,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,762,Tajikistan,TJK,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,56081,,,,56081,,49936,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,792,Turkey,TUR,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,29500,,,,29500,,408930,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,804,Ukraine,UKR,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,8065185,,,,8065185,,24673154,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,842,USA,USA,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,2830,,,,2830,,21220,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,860,Uzbekistan,UZB,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,15548,,,,15548,,59817,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080290,"Nuts, edible; n.e.c. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,142739,,,,142739,,1874270,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,40,Austria,AUT,,,,,,,,080290,"Nuts, edible; n.e.c. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,12,,,,12,,588,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,080290,"Nuts, edible; n.e.c. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,5306,,,,5306,,26832,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,156,China,CHN,,,,,,,,080290,"Nuts, edible; n.e.c. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,36655,,,,36655,,261713,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,246,Finland,FIN,,,,,,,,080290,"Nuts, edible; n.e.c. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,12,,,,12,,206,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,251,France,FRA,,,,,,,,080290,"Nuts, edible; n.e.c. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,111,,,,111,,864,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,276,Germany,DEU,,,,,,,,080290,"Nuts, edible; n.e.c. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,797,,,,797,,40654,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,381,Italy,ITA,,,,,,,,080290,"Nuts, edible; n.e.c. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,5,,,,5,,78,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,428,Latvia,LVA,,,,,,,,080290,"Nuts, edible; n.e.c. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,425,,,,425,,9422,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,440,Lithuania,LTU,,,,,,,,080290,"Nuts, edible; n.e.c. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,50,,,,50,,1037,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,484,Mexico,MEX,,,,,,,,080290,"Nuts, edible; n.e.c. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,51071,,,,51071,,822332,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,704,Viet Nam,VNM,,,,,,,,080290,"Nuts, edible; n.e.c. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,349,,,,349,,2474,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,724,Spain,ESP,,,,,,,,080290,"Nuts, edible; n.e.c. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,15,,,,15,,614,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,842,USA,USA,,,,,,,,080290,"Nuts, edible; n.e.c. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,47932,,,,47932,,707457,,,0
H4,2013,2013,2013,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080211,"Nuts, edible; almonds, fresh or dried, in shell",8,Weight in kilograms,2234433,,,,2234433,,11210483,,,0
H4,2013,2013,2013,6,1,1,Import,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,080211,"Nuts, edible; almonds, fresh or dried, in shell",8,Weight in kilograms,30164,,,,30164,,92653,,,0
H4,2013,2013,2013,6,1,1,Import,643,Russian Federation,RUS,152,Chile,CHL,,,,,,,,080211,"Nuts, edible; almonds, fresh or dried, in shell",8,Weight in kilograms,52900,,,,52900,,310496,,,0
H4,2013,2013,2013,6,1,1,Import,643,Russian Federation,RUS,156,China,CHN,,,,,,,,080211,"Nuts, edible; almonds, fresh or dried, in shell",8,Weight in kilograms,950,,,,950,,6175,,,0
H4,2013,2013,2013,6,1,1,Import,643,Russian Federation,RUS,276,Germany,DEU,,,,,,,,080211,"Nuts, edible; almonds, fresh or dried, in shell",8,Weight in kilograms,1305,,,,1305,,17325,,,0
H4,2013,2013,2013,6,1,1,Import,643,Russian Federation,RUS,724,Spain,ESP,,,,,,,,080211,"Nuts, edible; almonds, fresh or dried, in shell",8,Weight in kilograms,4928,,,,4928,,37447,,,0
H4,2013,2013,2013,6,1,1,Import,643,Russian Federation,RUS,788,Tunisia,TUN,,,,,,,,080211,"Nuts, edible; almonds, fresh or dried, in shell",8,Weight in kilograms,147,,,,147,,1235,,,0
H4,2013,2013,2013,6,1,1,Import,643,Russian Federation,RUS,842,USA,USA,,,,,,,,080211,"Nuts, edible; almonds, fresh or dried, in shell",8,Weight in kilograms,2144039,,,,2144039,,10745151,,,0
H4,2013,2013,2013,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,22915807,,,,22915807,,122534536,,,0
H4,2013,2013,2013,6,1,1,Import,643,Russian Federation,RUS,36,Australia,AUS,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,111586,,,,111586,,636177,,,0
